qgis_prospect_layer,qgis_prospect_feature_id,qgis_layer,#_of_intersections,qgis_feature_id,ACTION_DTT,CIRCUIT1,CIRCUIT2,GDO_GID,OBJECTID_12,OPERATING_,ROUTE_ASSE,STATUS,Towers_In,class,endNode,fictitious,fid,formOfWay,function,identifier,length,loop,name1,name1_lang,name2,name2_lang,nameTOID,numberTOID,primary_,roadNumber,startNode,trunkRoad,bua22cd,bua22nm,bua22nmw
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,6172,,,,,6172,,,,,Unknown,7188B642-8B46-4FED-A914-B788D97D83A4,false,6172,Single Carriageway,Restricted Local Access Road,C5367754-6B92-4098-B6F2-4354D1A350B7,148.0,false,,,,,,,false,,CFAD3C72-D8EF-415C-A9F6-132AEC0CCC15,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,5196,,,,,5196,,,,,Classified Unnumbered,33AF81C4-67E3-463D-8346-9C98DF44431E,false,5196,Single Carriageway,Minor Road,9FC476BE-7283-44DB-B59C-D055DE535962,2150.0,false,,,,,,,false,,A8AB4981-9C19-4E21-9E75-A87B224DB796,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,5347,,,,,5347,,,,,A Road,06356A2B-9031-46BD-BC8F-DBFAC48F7EB0,false,5347,Single Carriageway,A Road,10C4A9C0-8381-4869-806E-EDED6C46E16C,1079.0,false,,,,,,osgb4000000012519451,false,A4212,9D4E169C-D9A5-4F6B-92A1-BF058953613A,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,5656,,,,,5656,,,,,B Road,93687107-9D99-472F-9846-E6B20926E79D,false,5656,Single Carriageway,B Road,B57F6A72-7A24-41AE-BA65-3AF0A8242D4F,2219.0,false,,,,,,osgb4000000012519456,false,B4407,D6C7DD79-CBAD-4575-BC71-54146C8AA0AC,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,2,5691,,,,,5691,,,,,Unknown,A1DF154E-55EE-4045-B784-4FB3C1EB7EC1,false,5691,Single Carriageway,Restricted Local Access Road,C15CB69E-0872-445C-BBC9-C893C33FC674,4200.0,false,,,,,,,false,,7FCC1182-B24F-42CA-986D-D71BD9D92344,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,2,5708,,,,,5708,,,,,Unknown,5F74F698-CA4F-4367-9B06-5CC11074C782,false,5708,Single Carriageway,Restricted Local Access Road,F47C3FC4-78F0-4CE1-8CC8-21E6873672F4,769.0,false,,,,,,,false,,3D0ACDB4-70D9-40CB-97F7-01873DF8DBD0,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,5712,,,,,5712,,,,,Unknown,17C12275-CEDD-4DED-8EEE-791A00AA4C16,false,5712,Single Carriageway,Restricted Local Access Road,86E5CFA6-0601-4169-84ED-78A6DFCFC59A,626.0,false,,,,,,,false,,F177F2F8-2E7A-4B83-A95C-DD0AACDDE823,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,6162,,,,,6162,,,,,A Road,84DF6C26-66B9-4374-A728-76157BCD9761,false,6162,Single Carriageway,A Road,88A67986-A7CE-40A8-82FA-645B4CE52ACB,615.0,false,,,,,,osgb4000000013398348,true,A470,13CFE41E-9665-42B4-B23B-87EFD03D399D,true,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,6168,,,,,6168,,,,,Unknown,3DD262A7-1946-4A00-8391-E200CC37E4E8,false,6168,Single Carriageway,Restricted Local Access Road,D4E19CA5-D27A-4BF1-989D-C519122188B7,100.0,false,,,,,,,false,,36F15DFA-D201-4314-9A20-6790F2020365,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,6085,,,,,6085,,,,,Unknown,9C5ECD75-8FB7-46F1-8CA9-0F7558530016,false,6085,Single Carriageway,Restricted Local Access Road,D0F2EBBC-6B42-4BCD-9E5B-9F05A7A27F08,383.0,false,,,,,,,false,,8AF42D02-7480-4CDC-8889-B6B789009E45,false,,,
